12:00:01 kbmemused
12:10:23 3194396
12:20:08 2759084
12:30:10 2878560
12:40:01 2778128
12:50:14 2258460
01:00:00 2828872
01:10:34 2817536
01:20:01 2827668
01:30:00 2816148
01:40:07 2825028
01:50:04 2444000
02:00:01 2776612
02:10:00 3216532
02:20:04 2726032
02:30:04 2933124
02:40:01 2843916
02:50:04 2916728
03:00:09 3392724
03:10:03 4235700
03:20:01 3048748
10:38:59 (12
10:40:00 kbmemused
10:50:04 955460
11:03:10 971320
11:10:08 2188748
11:20:03 2191252
11:30:27 2206596
11:40:27 2120372
11:50:09 2177360
12:00:27 2165092
12:10:16 2811096
12:20:09 2335468
12:30:03 2347924
12:40:23 3389836
12:50:27 2306420
01:00:27 2167780
01:10:07 2224048
01:20:22 2186600
06:45:56 1240512
06:50:12 1991520
07:00:10 1615336
07:10:02 1884228
07:20:02 2035668
08:06:52 1245820
08:10:13 1247096
