Linux 6.8.0-48-generic (lakshay-baijal-Inspiron-15-3530) 	11/28/2024 	_x86_64_	(12 CPU)

12:00:01 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
12:10:23 AM   6965020  11514336   3194396     19.90    460180   4271252  13315996     65.76   4810868   2242516      1888
12:20:08 AM   7463404  12015180   2759084     17.19    462004   4206548  13148408     64.94   4395536   2244544       156
12:30:10 AM   7329628  11883304   2878560     17.93    463832   4219208  13169428     65.04   4507980   2246468        68
12:40:01 AM   7435000  11999432   2778128     17.30    465880   4211232  13271396     65.54   4404300   2256460       196
12:50:14 AM   7884628  12453996   2258460     14.07    468056   4279168  13544288     66.89   3849672   2261276       208
01:00:00 AM   7324436  11899992   2828872     17.62    470600   4266124  14053096     69.40   4457680   2266644        52
01:10:34 AM   7376968  11954332   2817536     17.55    472332   4222976  14018428     69.23   4441776   2268436       220
01:20:01 AM   7368376  11947444   2827668     17.61    473788   4219568  14006952     69.18   4442960   2270072       388
01:30:00 AM   7379708  11960668   2816148     17.54    475436   4217732  14006172     69.17   4448680   2271928       280
01:40:07 AM   7368788  11951472   2825028     17.60    476952   4217900  14018192     69.23   4455980   2273488       108
01:50:04 AM   7741028  12305172   2444000     15.22    479404   4224992  12766348     63.05   4056992   2255324        48
02:00:01 AM   7403560  11971084   2776612     17.30    480956   4228176  13136680     64.88   4403324   2258616        48
02:10:00 AM   6670892  11268104   3216532     20.04    484516   4511812  15498084     76.54   4861116   2285508        44
02:20:04 AM   7390716  11989360   2726032     16.98    486924   4281340  13180792     65.10   4359052   2286536        32
02:30:04 AM   7039968  11675404   2933124     18.27    490184   4416444  15519288     76.65   4583920   2320080       628
02:40:01 AM   7250108  11891788   2843916     17.71    492296   4294240  13852124     68.41   4450528   2326216        40
02:50:04 AM   7184956  11829176   2916728     18.17    494584   4284368  14023520     69.26   4542936   2328740       288
03:00:09 AM   6509996  11168484   3392724     21.13    501968   4473432  14823120     73.21   5030264   2334932       196
03:10:03 AM   5531704  10219308   4235700     26.38    506028   4600288  15552936     76.81   5897676   2360272       340
03:20:01 AM   6885128  11588104   3048748     18.99    508972   4431600  12408304     61.28   4679424   2374904        92
Average:      7175201  11774307   2925900     18.23    480745   4303920  13865678     68.48   4554033   2286648       266

10:38:59 AM  LINUX RESTART	(12 CPU)

10:40:00 AM kbmemfree   kbavail kbmemused  %memused kbbuffers  kbcached  kbcommit   %commit  kbactive   kbinact   kbdirty
10:50:04 AM  13827920  14464448    955460      5.95     52896    954600   4149196     20.49   1293776    330176       144
11:03:10 AM  13808664  14446724    971320      6.05     54100    955836   4232916     20.91   1299220    331452       588
11:10:08 AM  11400652  12865564   2188748     13.63     99808   2027148  12047520     59.50   3063244    605168       140
11:20:03 AM  11368576  12835844   2191252     13.65    101880   2054556  11971980     59.13   3078808    607472       104
11:30:27 AM  11394500  12864132   2206596     13.74    104012   2010876  11980332     59.17   3085156    609684        92
11:40:27 AM  11354700  12836056   2120372     13.21    111664   2125812  12348340     60.98   3000408    618776       112
11:50:09 AM  11335696  12819764   2177360     13.56    113780   2085088  12322996     60.86   3063324    621048       136
12:00:27 PM  11357788  12844324   2165092     13.49    116020   2072356  12316024     60.83   3043344    623424        92
12:10:16 PM  10474176  11971824   2811096     17.51    117316   2301100  13847568     68.39   3708484    628364       240
12:20:09 PM  11005572  12505272   2335468     14.55    119520   2242396  13021060     64.31   3210692    630084        28
12:30:03 PM  10974616  12476636   2347924     14.63    121544   2258744  13041040     64.41   3221192    632156       192
12:40:23 PM   9986004  11484452   3389836     21.12    123936   2202528  11019944     54.42   4280704    628640        96
12:50:27 PM  11090104  12590916   2306420     14.37    126080   2179760  11003984     54.35   3179828    630988       108
01:00:27 PM  11230880  12740832   2167780     13.50    129892   2177340  10415140     51.44   3041928    639540        12
01:10:07 PM  11186900  12699884   2224048     13.85    131948   2162932  10277900     50.76   3096468    641920        92
01:20:22 PM  11199476  12714728   2186600     13.62    134036   2185768  10305532     50.90   3080612    644192       144
06:45:56 PM  12444368  13959888   1240512      7.73    134808   1893644   6355192     31.39   2120588    644476       496
06:50:12 PM  11154216  12752560   1991520     12.41    138984   2416772  13058864     64.49   2929580    717484       224
07:00:10 PM  11455924  13084164   1615336     10.06    141600   2485424  13353000     65.95   2512652    739316        88
07:10:02 PM  11334600  13058956   1884228     11.74    147076   2330336  10467676     51.70   2813684    830896        16
07:20:02 PM  11102896  12838808   2035668     12.68    149192   2406796  10632788     52.51   2984116    840840        52
08:06:52 PM  12142564  13876676   1245820      7.76    150252   2159380   6316784     31.20   2145836    837900       628
08:10:13 PM  12185208  13919880   1247096      7.77    150644   2114292   6172008     30.48   2136856    838332        48
Average:     11513739  12984884   2000241     12.46    120478   2078412  10463382     51.68   2843065    646623       168
